学号,学制,上课院系,学生校区,班级名称,当前所在班级,课程编号,课程名称,是否计划内课程,总成绩,原始总成绩,课程性质,课程属性,学时,学分,开课单位,录入人,考试性质,考核方式,补重学期,学位课程,辅修课程
20131101520,4,计算机科学技术学院,盛乐校区,13级（计科师范）,13级（计科师范）,199359,微电子与电路基础实验,否,86,,任选课,任选,16(学时),0.5,计算机学院,,正常考试,考试,,否,否
20131101520,4,计算机科学技术学院,盛乐校区,13级（计科师范）,13级（计科师范）,199358,微电子与电路基础,否,67,,任选课,任选,32(学时),2,计算机学院,,正常考试,考试,,否,否
20131101520,4,计算机科学技术学院,盛乐校区,13级（计科师范）,13级（计科师范）,199187,Internet实用技术实践,否,88.16,,任选课,任选,24(学时),1.5,计算机学院,,正常考试,考试,,否,否
20131101520,4,计算机科学技术学院,盛乐校区,13级（计科师范）,13级（计科师范）,199176,程序设计基础实训,否,84,,任选课,任选,24(学时),1,计算机学院,,正常考试,考试,,否,否
20131101520,4,计算机科学技术学院,盛乐校区,13级（计科师范）,13级（计科师范）,199025,线性代数,是,66,,任选课,任选,68(学时),3,数学科学学院,,正常考试,考试,,否,否
20131101520,4,计算机科学技术学院,盛乐校区,13级（计科师范）,13级（计科师范）,199024,高等数学(二),否,74,,任选课,任选,85(学时),4,数学科学学院,,正常考试,考试,,否,否
20131101520,4,计算机科学技术学院,盛乐校区,13级（计科师范）,13级（计科师范）,199001,大学物理(一),否,80,,任选课,任选,54(学时),3,物理与电子信息学院,,正常考试,考试,,否,否
20131101520,4,计算机科学技术学院,盛乐校区,13级（计科师范）,13级（计科师范）,198220,计算机维护与管理实训,否,88,,任选课,任选,80(学时),2,计算机学院,,正常考试,考试,,否,否
20131101520,4,计算机科学技术学院,盛乐校区,13级（计科师范）,13级（计科师范）,340034,教师口语,否,93,,任选课,任选,30(学时),2,文学院,,正常考试,考试,,否,否
20131101520,4,计算机科学技术学院,盛乐校区,13级（计科师范）,13级（计科师范）,3400001,中学教育心理学,是,81,,任选课,任选,48(学时),3,教育学院（田家炳教育学院）,,正常考试,考查,,否,否
20131101520,4,计算机科学技术学院,盛乐校区,13级（计科师范）,13级（计科师范）,199180,计算机应用技术基础与实践,否,96,,任选课,任选,32(学时),2,计算机学院,,正常考试,考试,,否,否
